code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
RADPYFA,HBC AULNOYE AYMERIES,PETIT clement,HBC ST AMAND LES EAUX PORTE DU HAINAUT,CARRACEDO felix,J6,25,22,rencontre_D2F_1_2122_177.pdf,24,22,R,1,1,1,0,0,F,0,0,D2,2122,13,NA,NA,NA
RADQBRH,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,SARREBOURG MOSELLE SUD HANDBALL,BONDANT christophe,J6,29,26,rencontre_D2H_2122_21012.pdf,27,25,R,1,1,1,0,0,H,0,1,D2,2122,NA,7,NA,NA
RADUSKW,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J8,25,28,rencontre_D2F_1_2122_195.pdf,24,27,R,-1,-1,0,0,0,F,1,0,D2,2122,7,17,-10,-1.68549965615811
RADWBCP,HBC AULNOYE AYMERIES,PETIT clement,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J12,23,24,rencontre_D2F_1_2122_225.pdf,23,23,R,0,-1,0,1,0,F,1,0,D2,2122,27,20,7,1.43147027313079
RADWHTW,LIMOGES HAND,STEFANOVIC rastko,MONTPELLIER HANDBALL,CANAYER patrice,J14,29,30,rencontre_D1H_2122_547.pdf,29,29,R,0,-1,0,1,0,H,0,0,D1,2122,NA,26,NA,NA
RADXBPM,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,CAVIGAL NICE HANDBALL,ROURA eduard,J17,23,24,rencontre_D2H_2122_21104.pdf,23,24,R,-1,-1,0,1,1,H,0,0,D2,2122,NA,34,NA,NA
RADXZEP,GRAND NANCY METROPOLE HB,BRAUX benjamin,LIMOGES HAND,STEFANOVIC rastko,J15,27,29,rencontre_D1H_2122_555.pdf,26,27,R,-1,-1,0,0,1,H,0,0,D1,2122,NA,NA,NA,NA
RADYKEZ,LES NEPTUNES DE NANTES,SAURINA guillaume,JDA DIJON HANDBALL,MAZEL christophe,J11,28,25,rencontre_D1F_2122_249.pdf,28,25,R,1,1,1,0,0,F,1,0,D1,2122,22,21,1,-0.171498585142509
RADYSIC,ANGERS SCO HANDBALL,TRISTANT denis,SARREBOURG MOSELLE SUD HANDBALL,BONDANT christophe,J16,29,33,rencontre_D2H_2122_21089.pdf,28,31,R,-1,-1,0,0,0,H,0,0,D2,2122,21,25,-4,0.0504754465125069
RADYYUM,CESSON RENNES METROPOLE HB,LERICHE sebastien,USAM NIMES GARD,MAURICE franck,J15,24,24,rencontre_D1H_2122_551.pdf,24,23,R,1,0,0,1,0,H,1,0,D1,2122,28,28,0,0
RADZBQF,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,CAEN HANDBALL,BEDOS roch,J25,31,27,rencontre_D2H_2122_21161.pdf,29,26,R,1,1,1,0,0,H,0,1,D2,2122,47,45,2,0.398287701950713
RADZHLN,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J10,28,28,rencontre_D2F_1_2122_207.pdf,27,26,R,1,0,0,0,1,F,0,0,D2,2122,20,21,-1,-0.227429413073671
RAEAFSO,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J11,24,27,rencontre_D2F_1_2122_213.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D2,2122,23,21,2,-0.0423789689763007
RAEAGKJ,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,HB OCTEVILLE SUR MER,BOIVIN gautier,J12,24,26,rencontre_D2F_1_2122_224.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D2,2122,11,15,-4,-0.729769158850992
RAEAGXT,ES BESANCON FEMININ,MIZOULE sebastien,MERIGNAC HANDBALL,CHAGNARD christophe,J18,21,20,rencontre_D1F_2122_298.pdf,21,20,R,1,1,1,0,0,F,0,0,D1,2122,37,28,9,0.536229193593803
RAEAKVE,ISTRES PROVENCE HANDBALL,DEROT gilles,SAINT RAPHAEL VHB,FORTUNEANU dan,J12,26,27,rencontre_D1H_2122_531.pdf,26,27,R,-1,-1,0,1,1,H,0,1,D1,2122,17,NA,NA,NA
RAEAMSR,BOURG DE PEAGE DROME HANDBALL,COMTE camille,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J23,28,25,rencontre_D1F_2122_333.pdf,28,25,R,1,1,1,0,0,F,1,0,D1,2122,51,44,7,1.49380046191668
RAEAQTV,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,HBC AULNOYE AYMERIES,PETIT clement,J11,32,30,rencontre_D2F_1_2122_217.pdf,31,29,R,1,1,1,0,0,F,0,1,D2,2122,NA,26,NA,NA
RAEAUFO,SELESTAT ALSACE HANDBALL,VIENNET christophe,TREMBLAY HANDBALL,ZOVKO dragan,J19,29,26,rencontre_D2H_2122_21118.pdf,28,26,R,1,1,1,1,0,H,0,0,D2,2122,41,41,0,0
RAEAYBG,DUNKERQUE HANDBALL GRAND LITTORAL,CALBRY arnaud,LIMOGES HAND,STEFANOVIC rastko,J22,30,27,rencontre_D1H_2122_610.pdf,29,26,R,1,1,1,0,0,H,0,0,D1,2122,35,NA,NA,NA
RAEBCPX,SAINT RAPHAEL VHB,HMAM wissem,MONTPELLIER HANDBALL,CANAYER patrice,J23,36,38,rencontre_D1H_2122_622.pdf,35,38,R,-1,-1,0,0,0,H,0,0,D1,2122,NA,51,NA,NA
RAEBNOP,SAINT RAPHAEL VAR HANDBALL,FORTUNEANU dan,ISTRES PROVENCE HANDBALL,DEROT gilles,J17,31,31,rencontre_D1H_2122_573.pdf,30,31,R,-1,0,1,0,1,H,0,1,D1,2122,34,24,10,1.24957824210112
RAECDRH,CAEN HANDBALL,BEDOS roch,STRASBOURG EUROMETROPOLE HB,LATHOUD denis,J28,32,30,rencontre_D2H_2122_21187.pdf,31,30,R,1,1,1,0,0,H,1,0,D2,2122,50,46,4,0.104836436973191
RAECFBB,US CRETEIL HANDBALL,DELGADO fernando,ISTRES PROVENCE HANDBALL,DEROT gilles,J29,28,29,rencontre_D1H_2122_663.pdf,26,28,R,-1,-1,0,0,1,H,0,0,D1,2122,49,41,8,1.00907167059185
SAECUYY,BREST BRETAGNE HANDBALL,MOREL pablo,JDA DIJON HANDBALL,MAZEL christophe,J1,32,30,rencontre_D1F_2223_2969.pdf,32,29,R,1,1,1,1,0,F,0,0,D1,2223,0,0,0,0
SAECUZP,MERIGNAC HANDBALL,CHAGNARD christophe,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J3,26,28,rencontre_D1F_2223_2986.pdf,26,27,R,-1,-1,0,0,0,F,0,0,D1,2223,2,6,-4,-1.37620470640795
SAECUZQ,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,LES NEPTUNES DE NANTES,THOMSEN helle,J3,24,26,rencontre_D1F_2223_2987.pdf,23,25,R,-1,-1,0,0,0,F,1,0,D1,2223,2,4,-2,-0.55048188256318
SAECUZR,HANDBALL PLAN DE CUQUES,SPINCER angelique,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J3,34,32,rencontre_D1F_2223_2988.pdf,34,32,R,1,1,1,0,0,F,1,0,D1,2223,4,2,2,1.10096376512636
SAECVAF,MERIGNAC HANDBALL,CHAGNARD christophe,LES NEPTUNES DE NANTES,THOMSEN helle,J5,27,30,rencontre_D1F_2223_3002.pdf,27,30,R,-1,-1,0,0,1,F,0,0,D1,2223,4,10,-6,-1.12903388528613
SAECVAJ,LES NEPTUNES DE NANTES,THOMSEN helle,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J6,28,26,rencontre_D1F_2223_3006.pdf,27,26,R,1,1,1,1,0,F,0,0,D1,2223,13,10,3,1.18845672135382
SAECVAL,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,MERIGNAC HANDBALL,CHAGNARD christophe,J6,26,24,rencontre_D1F_2223_3008.pdf,25,23,R,1,1,1,1,0,F,0,0,D1,2223,5,5,0,0
SAECVAQ,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,J7,33,36,rencontre_D1F_2223_3013.pdf,33,36,R,-1,-1,0,0,0,F,0,1,D1,2223,8,11,-3,-0.666666666666667
SAECVAU,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,PARIS,MESSAOUDI yacine,J7,23,24,rencontre_D1F_2223_3017.pdf,22,24,R,-1,-1,0,0,0,F,0,0,D1,2223,11,14,-3,-0.666666666666667
SAECVAV,ES BESANCON FEMININ,MIZOULE sebastien,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J8,27,28,rencontre_D1F_2223_3018.pdf,26,27,R,-1,-1,0,0,0,F,0,0,D1,2223,12,9,3,0.738346419058131
SAECVBB,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,BREST BRETAGNE HANDBALL,MOREL pablo,J8,24,23,rencontre_D1F_2223_3024.pdf,23,22,R,1,1,1,1,0,F,0,0,D1,2223,6,21,-15,-1.83395723443471
SAECVBF,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,JDA DIJON HANDBALL,MAZEL christophe,J9,29,30,rencontre_D1F_2223_3028.pdf,29,29,R,0,-1,0,1,0,F,0,0,D1,2223,12,15,-3,-0.670820393249937
SAECVBH,MERIGNAC HANDBALL,CHAGNARD christophe,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J9,27,26,rencontre_D1F_2223_3030.pdf,27,26,R,1,1,1,0,1,F,0,0,D1,2223,10,9,1,-0.031943828249997
SAECVBJ,METZ HANDBALL,MAYONNADE emmanuel,PARIS,MESSAOUDI yacine,J10,30,29,rencontre_D1F_2223_3032.pdf,30,29,R,1,1,1,0,0,F,0,0,D1,2223,24,21,3,0.552716292569982
SAECVBL,ES BESANCON FEMININ,MIZOULE sebastien,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J10,29,26,rencontre_D1F_2223_3034.pdf,29,26,R,1,1,1,0,0,F,0,0,D1,2223,13,16,-3,-0.977882671469969
SAECVBM,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,MERIGNAC HANDBALL,CHAGNARD christophe,J10,21,22,rencontre_D1F_2223_3035.pdf,21,22,R,-1,-1,0,0,1,F,0,0,D1,2223,18,13,5,1.06291594724997
SAECVBO,HANDBALL PLAN DE CUQUES,SPINCER angelique,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J10,29,25,rencontre_D1F_2223_3037.pdf,28,25,R,1,1,1,0,0,F,0,0,D1,2223,15,10,5,1.06291594724997
SAECVBP,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J10,31,32,rencontre_D1F_2223_3038.pdf,31,32,R,-1,-1,0,0,1,F,0,0,D1,2223,10,13,-3,-0.977882671469969
SAECVBS,LES NEPTUNES DE NANTES,THOMSEN helle,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J11,27,29,rencontre_D1F_2223_3041.pdf,27,28,R,-1,-1,0,0,1,F,0,0,D1,2223,23,16,7,1.14670618073466
SAECVBY,BREST BRETAGNE HANDBALL,MOREL pablo,PARIS,MESSAOUDI yacine,J12,22,19,rencontre_D1F_2223_3047.pdf,21,19,R,1,1,1,1,0,F,0,0,D1,2223,28,25,3,0.468731040524877
SAECVCG,LES NEPTUNES DE NANTES,THOMSEN helle,ES BESANCON FEMININ,MIZOULE sebastien,J13,23,23,rencontre_D1F_2223_3055.pdf,22,23,R,-1,0,1,0,0,F,0,0,D1,2223,25,22,3,0.214422506967559
SAECVCM,PARIS,MESSAOUDI yacine,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J14,21,21,rencontre_D1F_2223_3061.pdf,21,19,R,1,0,0,1,0,F,1,1,D1,2223,29,20,9,1.38808583077671
SAECVCU,JDA DIJON HANDBALL,MAZEL christophe,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J15,25,27,rencontre_D1F_2223_3069.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D1,2223,27,24,3,0.534459387267487
SAECVDB,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J16,28,27,rencontre_D1F_2223_3076.pdf,28,26,R,1,1,1,1,0,F,0,0,D1,2223,32,17,15,0.995253215666657
SAECVDC,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,LES NEPTUNES DE NANTES,THOMSEN helle,J16,24,25,rencontre_D1F_2223_3077.pdf,24,25,R,-1,-1,0,0,1,F,1,0,D1,2223,27,33,-6,-0.770970800868537
SAECVDF,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,ES BESANCON FEMININ,MIZOULE sebastien,J16,28,28,rencontre_D1F_2223_3080.pdf,26,28,R,-1,0,1,0,0,F,0,1,D1,2223,20,26,-6,-0.770970800868537
SAECVDI,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J17,34,31,rencontre_D1F_2223_3083.pdf,33,30,R,1,1,1,0,0,F,0,0,D1,2223,28,25,3,1.20783531789632
SAECVDK,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,METZ HANDBALL,MAYONNADE emmanuel,J17,32,33,rencontre_D1F_2223_3085.pdf,31,32,R,-1,-1,0,0,1,F,0,1,D1,2223,18,42,-24,-1.4363447023632
SAECVDP,PARIS,MESSAOUDI yacine,LES NEPTUNES DE NANTES,THOMSEN helle,J18,22,21,rencontre_D1F_2223_3090.pdf,21,21,R,0,1,1,1,0,F,0,1,D1,2223,36,39,-3,-1.22594710205633
SAECVDT,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,MERIGNAC HANDBALL,CHAGNARD christophe,J18,30,32,rencontre_D1F_2223_3094.pdf,29,31,R,-1,-1,0,0,0,F,0,0,D1,2223,26,25,1,-0.786801871468987
SAECVDW,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,ES BESANCON FEMININ,MIZOULE sebastien,J19,24,25,rencontre_D1F_2223_3097.pdf,24,24,R,0,-1,0,1,1,F,0,1,D1,2223,39,29,10,0.893429147503997
SAECVED,ES BESANCON FEMININ,MIZOULE sebastien,HANDBALL PLAN DE CUQUES,SPINCER angelique,J20,26,25,rencontre_D1F_2223_3104.pdf,25,24,R,1,1,1,0,0,F,1,0,D1,2223,32,28,4,0.391332637241893
SAECVEE,JDA DIJON HANDBALL,MAZEL christophe,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,J20,31,30,rencontre_D1F_2223_3105.pdf,30,30,R,0,1,1,0,0,F,0,1,D1,2223,38,21,17,1.6122904654366
SAECVEG,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,J20,24,22,rencontre_D1F_2223_3107.pdf,24,22,R,1,1,1,0,0,F,0,0,D1,2223,28,40,-12,-1.11138468976698
SAECVEK,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,PARIS,MESSAOUDI yacine,J21,24,23,rencontre_D1F_2223_3111.pdf,23,22,R,1,1,1,1,0,F,1,0,D1,2223,41,42,-1,0.0630943081406336
SAECVEL,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,ES BESANCON FEMININ,MIZOULE sebastien,J21,26,28,rencontre_D1F_2223_3112.pdf,26,27,R,-1,-1,0,1,0,F,0,1,D1,2223,35,35,0,0
SAECVEM,MERIGNAC HANDBALL,CHAGNARD christophe,JDA DIJON HANDBALL,MAZEL christophe,J21,27,28,rencontre_D1F_2223_3113.pdf,27,27,R,0,-1,0,1,0,F,0,0,D1,2223,30,41,-11,-0.567848773265702
SAECVEO,HANDBALL PLAN DE CUQUES,SPINCER angelique,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J21,27,26,rencontre_D1F_2223_3115.pdf,26,25,R,1,1,1,1,1,F,0,0,D1,2223,29,27,2,0.252377232562534
SAECVET,HANDBALL PLAN DE CUQUES,SPINCER angelique,MERIGNAC HANDBALL,CHAGNARD christophe,J22,26,25,rencontre_D1F_2223_3120.pdf,25,23,R,1,1,1,1,0,F,1,0,D1,2223,32,31,1,0.213416397459177
SAECVFE,ES BESANCON FEMININ,MIZOULE sebastien,LES NEPTUNES DE NANTES,THOMSEN helle,J24,30,27,rencontre_D1F_2223_3131.pdf,29,26,R,1,1,1,0,0,F,1,1,D1,2223,44,51,-7,-0.137490333050799
SAECVFK,PARIS,MESSAOUDI yacine,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J25,30,31,rencontre_D1F_2223_3137.pdf,29,31,R,-1,-1,0,0,1,F,0,1,D1,2223,48,41,7,1.15565346363082
SAECVFP,TOULON METROPOLE VAR HANDBALL,PLANTIN stephane,HANDBALL PLAN DE CUQUES,SPINCER angelique,J25,24,20,rencontre_D1F_2223_3142.pdf,22,20,R,1,1,1,0,0,F,0,0,D1,2223,28,39,-11,-0.707190925505425
SAECVFR,METZ HANDBALL,MAYONNADE emmanuel,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,J26,30,26,rencontre_D1F_2223_3144.pdf,28,25,R,1,1,1,1,1,F,0,0,D1,2223,72,52,20,0.63593377383646
SAEDKJH,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,NOISY LE GRAND HANDBALL,GHERRAM farid,J1,20,21,rencontre_D2F_1_2223_351.pdf,20,21,R,-1,-1,0,1,0,F,0,0,D2,2223,0,0,0,0
SAEDKJJ,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,ASUL VAULX EN VELIN,MODENEL sebastien,J1,30,27,rencontre_D2F_1_2223_353.pdf,29,26,R,1,1,1,0,0,F,0,0,D2,2223,0,0,0,0
SAEDKJQ,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J2,28,30,rencontre_D2F_1_2223_360.pdf,28,29,R,-1,-1,0,0,0,F,0,0,D2,2223,3,3,0,0
SAEDKJS,NOISY LE GRAND HANDBALL,GHERRAM farid,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J2,27,29,rencontre_D2F_1_2223_362.pdf,27,29,R,-1,-1,0,0,1,F,0,0,D2,2223,3,1,2,1.63010205337044
SAEDKJT,ACHENHEIM TRUCHTERSHEIM,BASNY jan,SAMBRE AVESNOIS HANDBALL,PETIT clement,J2,29,28,rencontre_D2F_1_2223_363.pdf,28,28,R,0,1,1,0,0,F,0,0,D2,2223,3,3,0,0
SAEDKJX,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J3,23,24,rencontre_D2F_1_2223_367.pdf,23,23,R,0,-1,0,1,1,F,0,0,D2,2223,6,4,2,0.806871530459878
SAEDKKB,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,LOMME LILLE METROPOLE HB,WORM laurent,J3,31,29,rencontre_D2F_1_2223_371.pdf,31,28,R,1,1,1,0,0,F,1,0,D2,2223,4,1,3,1.29099444873581
SAEDKKC,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J4,22,23,rencontre_D2F_1_2223_372.pdf,20,23,R,-1,-1,0,1,1,F,0,1,D2,2223,7,5,2,0.798282470032246
SAEDKKF,LOMME LILLE METROPOLE HB,WORM laurent,SAMBRE AVESNOIS HANDBALL,PETIT clement,J4,27,29,rencontre_D2F_1_2223_375.pdf,27,29,R,-1,-1,0,1,1,F,0,0,D2,2223,2,5,-3,-1.04390784542678
SAEDKKI,TOULOUSE FEMININ HANDBALL,SEUTCHIE ludovic,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J4,27,29,rencontre_D2F_1_2223_378.pdf,25,28,R,-1,-1,0,0,1,F,0,0,D2,2223,5,7,-2,-0.675469782334978
SAEDKKJ,ASUL VAULX EN VELIN,MODENEL sebastien,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J5,29,27,rencontre_D2F_1_2223_379.pdf,28,26,R,1,1,1,0,0,F,0,0,D2,2223,5,8,-3,-0.791387386719812
SAEDKKK,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,TOULOUSE FEMININ HANDBALL,SEUTCHIE ludovic,J5,20,21,rencontre_D2F_1_2223_380.pdf,20,20,R,0,-1,0,0,1,F,0,0,D2,2223,8,6,2,0.287777231534477
SAEDKKP,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J5,24,23,rencontre_D2F_1_2223_385.pdf,24,22,R,1,1,1,1,0,F,0,0,D2,2223,7,7,0,0
SAEDKKZ,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,NOISY LE GRAND HANDBALL,GHERRAM farid,J7,22,25,rencontre_D2F_1_2223_395.pdf,22,24,R,-1,-1,0,0,1,F,0,0,D2,2223,10,12,-2,-0.564810071321915
SAEDKLA,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,LOMME LILLE METROPOLE HB,WORM laurent,J7,28,27,rencontre_D2F_1_2223_396.pdf,27,27,R,0,1,1,0,1,F,0,0,D2,2223,12,7,5,1.12962014264383
SAEDKLD,SAMBRE AVESNOIS HANDBALL,PETIT clement,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J7,23,22,rencontre_D2F_1_2223_399.pdf,23,22,R,1,1,1,1,0,F,0,1,D2,2223,11,13,-2,-0.564810071321915
SAEDKLE,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,PALENTE BESANCON HANDBALL,SECK cheikh,J8,28,27,rencontre_D2F_1_2223_400.pdf,27,27,R,0,1,1,0,0,F,0,0,D2,2223,10,8,2,0.212583189449993
SAEDKLG,LOMME LILLE METROPOLE HB,WORM laurent,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J8,29,28,rencontre_D2F_1_2223_402.pdf,13,16,R,-1,1,1,0,0,F,0,1,D2,2223,8,11,-3,-1.06291594724997
SAEDKLH,NOISY LE GRAND HANDBALL,GHERRAM farid,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J8,20,21,rencontre_D2F_1_2223_403.pdf,20,21,R,-1,-1,0,0,1,F,0,0,D2,2223,15,13,2,0.212583189449993
SAEDKLU,LOMME LILLE METROPOLE HB,WORM laurent,TOULOUSE FEMININ HANDBALL,VEDEL fabien,J10,31,29,rencontre_D2F_1_2223_416.pdf,31,28,R,1,1,1,1,0,F,1,0,D2,2223,14,15,-1,-0.559731393381301
SAEDKMA,HAVRE ATHLETIC CLUB HB,PELLAN stephane,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J11,29,28,rencontre_D2F_1_2223_422.pdf,28,27,R,1,1,1,1,0,F,0,0,D2,2223,17,19,-2,0.227085131097737
SAEDKMJ,PALENTE BESANCON HANDBALL,SECK cheikh,ASUL VAULX EN VELIN,MODENEL sebastien,J12,24,26,rencontre_D2F_1_2223_431.pdf,24,24,R,0,-1,0,1,0,F,0,0,D2,2223,16,15,1,-0.403962100437749
SAEDKML,SAMBRE AVESNOIS HANDBALL,PETIT clement,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J12,27,31,rencontre_D2F_1_2223_433.pdf,27,30,R,-1,-1,0,1,0,F,1,0,D2,2223,22,14,8,0.727131780787949
SAEDKMS,ACHENHEIM TRUCHTERSHEIM,BASNY jan,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J13,22,20,rencontre_D2F_1_2223_440.pdf,21,19,R,1,1,1,1,0,F,1,1,D2,2223,29,23,6,1.17399220611477
SAEDKMU,ASUL VAULX EN VELIN,MODENEL sebastien,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J14,34,36,rencontre_D2F_1_2223_442.pdf,34,36,R,-1,-1,0,0,0,F,1,0,D2,2223,19,22,-3,-0.0475866867266801
SAEDKMV,HAVRE ATHLETIC CLUB HB,PELLAN stephane,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J14,20,21,rencontre_D2F_1_2223_443.pdf,19,20,R,-1,-1,0,0,0,F,0,0,D2,2223,22,36,-14,-1.61794734870712
SAEDKNA,TOULOUSE FEMININ HANDBALL,VEDEL fabien,SAMBRE AVESNOIS HANDBALL,PETIT clement,J14,23,27,rencontre_D2F_1_2223_448.pdf,23,25,R,-1,-1,0,0,1,F,0,0,D2,2223,19,26,-7,-0.618626927446841
SAEDKNE,PALENTE BESANCON HANDBALL,SECK cheikh,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J15,26,27,rencontre_D2F_1_2223_452.pdf,26,27,R,-1,-1,0,0,1,F,0,0,D2,2223,19,23,-4,-0.820412654142367
SAEDKNG,SAMBRE AVESNOIS HANDBALL,PETIT clement,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J15,29,26,rencontre_D2F_1_2223_454.pdf,28,26,R,1,1,1,0,0,F,0,0,D2,2223,29,33,-4,-0.820412654142367
SAEDKNI,HAVRE ATHLETIC CLUB HB,PELLAN stephane,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J16,27,24,rencontre_D2F_1_2223_456.pdf,27,24,R,1,1,1,0,0,F,0,0,D2,2223,26,28,-2,0.204124145231932
SAEDKNM,NOISY LE GRAND HANDBALL,GHERRAM farid,SAMBRE AVESNOIS HANDBALL,PETIT clement,J16,28,27,rencontre_D2F_1_2223_460.pdf,26,26,R,0,1,1,1,0,F,0,0,D2,2223,31,32,-1,0.408248290463863
SAEDKNN,ACHENHEIM TRUCHTERSHEIM,BASNY jan,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J16,28,25,rencontre_D2F_1_2223_461.pdf,28,25,R,1,1,1,0,0,F,1,0,D2,2223,34,42,-8,-1.02062072615966
SAEDKNO,TOULOUSE FEMININ HANDBALL,VEDEL fabien,PALENTE BESANCON HANDBALL,SECK cheikh,J16,30,28,rencontre_D2F_1_2223_462.pdf,29,27,R,1,1,1,1,0,F,0,0,D2,2223,21,20,1,0.816496580927726
SAEDKNQ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,NOISY LE GRAND HANDBALL,GHERRAM farid,J17,29,31,rencontre_D2F_1_2223_464.pdf,28,31,R,-1,-1,0,0,0,F,0,1,D2,2223,29,34,-5,-0.021631040838479
SAEDKNR,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,LOMME LILLE METROPOLE HB,WORM laurent,J17,30,30,rencontre_D2F_1_2223_465.pdf,30,29,R,1,0,0,0,1,F,1,0,D2,2223,25,24,1,0.757086429346762
SAEDKNT,PALENTE BESANCON HANDBALL,SECK cheikh,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J17,24,24,rencontre_D2F_1_2223_467.pdf,22,24,R,-1,0,1,0,1,F,0,1,D2,2223,21,28,-7,-0.281203530900226
SAEDKNU,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J17,32,33,rencontre_D2F_1_2223_468.pdf,30,32,R,-1,-1,0,0,0,F,0,0,D2,2223,43,36,7,1.535803899532
