"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAEDKOR","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","ACHENHEIM TRUCHTERSHEIM","BASNY jan",25,26,"rencontre_D2F_1_2223_491.pdf","J21",23,24,"R",-1,-1,0,0,0,"F",1,0,"D2","2223","bouillargues handball nimes metropole","achenheim truchtersheim",45,63,18
"SAEDKOU","PALENTE BESANCON HANDBALL","SECK cheikh","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",27,25,"rencontre_D2F_1_2223_494.pdf","J21",27,24,"R",1,1,1,0,0,"F",0,0,"D2","2223","palente besancon handball","club athletique beglais",36,43,7
"SAEDKOV","STELLA SAINT-MAUR HANDBALL","SAMSON remi","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",25,22,"rencontre_D2F_1_2223_495.pdf","J21",24,22,"R",1,1,1,0,0,"F",0,0,"D2","2223","stella saint-maur handball","saint gregoire rennes metropole hb",66,38,-28
"SAEDKOX","HANDBALL CLERMONT AUVERGNE METROPOLE 63","SAUVAL florence","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent",29,32,"rencontre_D2F_1_2223_497.pdf","J21",28,30,"R",-1,-1,0,0,1,"F",1,0,"D2","2223","handball clermont auvergne metropole 63","toulouse feminin handball",53,44,-9
"SAEDKPA","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","SAMBRE AVESNOIS HANDBALL","PETIT clement",26,28,"rencontre_D2F_1_2223_500.pdf","J22",25,28,"R",-1,-1,0,0,1,"F",0,1,"D2","2223","saint gregoire rennes metropole hb","sambre avesnois handball",38,54,16
"SAEDKPB","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","STELLA SAINT-MAUR HANDBALL","SAMSON remi",20,23,"rencontre_D2F_1_2223_501.pdf","J22",20,22,"R",-1,-1,0,0,0,"F",0,0,"D2","2223","club athletique beglais","stella saint-maur handball",43,66,23
"SAEDKPC","NOISY LE GRAND HANDBALL","GHERRAM farid","LOMME LILLE METROPOLE HB","WORM laurent",31,29,"rencontre_D2F_1_2223_502.pdf","J22",30,28,"R",1,1,1,1,0,"F",0,0,"D2","2223","noisy le grand handball","lomme lille metropole hb",55,41,-14
"SAEDKPE","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",26,22,"rencontre_D2F_1_2223_504.pdf","J22",25,22,"R",1,1,1,0,0,"F",0,0,"D2","2223","toulouse feminin handball","bouillargues handball nimes metropole",44,45,1
"SAEDKPI","NOISY LE GRAND HANDBALL","GHERRAM farid","ASUL VAULX EN VELIN","MODENEL sebastien",25,28,"rencontre_D2F_1_2223_508.pdf","J23",24,26,"R",-1,-1,0,0,0,"F",0,0,"D2","2223","noisy le grand handball","asul vaulx en velin",55,38,-17
"SAEDKPM","ASUL VAULX EN VELIN","MODENEL sebastien","STELLA SAINT-MAUR HANDBALL","SAMSON remi",27,30,"rencontre_D2F_1_2223_512.pdf","J24",27,29,"R",-1,-1,0,0,0,"F",0,0,"D2","2223","asul vaulx en velin","stella saint-maur handball",38,66,28
