code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_29_min,score_visiteur_29_min,temps_proche_30_min,score_recevant_30_min,score_visiteur_30_min,equipe,statut_29_min,statut_30_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
SAEEAIQ,C'CHARTRES METROPOLE HANDBALL,SALAET toni,LIMOGES HAND,RODRIGUEZ alberto,J21,31,26,rencontre_D1H_2223_4113.pdf,13,10,1767,14,10,R,1,1,1,1,0,0,H,0,0,D1,2223
SAEEAIR,DUNKERQUE HANDBALL GRAND LITTORAL,MAURICE franck,MONTPELLIER HANDBALL,CANAYER patrice,J21,28,37,rencontre_D1H_2223_4114.pdf,17,18,1768,17,18,R,-1,-1,-1,0,0,0,H,0,1,D1,2223
SAEEAIS,US IVRY HANDBALL,DINART didier,PAYS AIX UNIVERSITE CLUB HANDBALL,PAVONI benjamin,J21,29,29,rencontre_D1H_2223_4115.pdf,13,12,1773,13,13,R,1,0,0,0,0,0,H,0,0,D1,2223
SAEEAIT,SELESTAT ALSACE HANDBALL,BUSSELIER laurent,US CRETEIL HANDBALL,DELGADO fernando,J21,32,32,rencontre_D1H_2223_4116.pdf,15,16,1795,16,17,R,-1,-1,0,0,0,0,H,0,0,D1,2223
SAEEAIU,PAYS AIX UNIVERSITE CLUB HANDBALL,PAVONI benjamin,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J22,29,27,rencontre_D1H_2223_4117.pdf,16,14,1770,16,14,R,1,1,1,1,0,0,H,0,0,D1,2223
SAEEAIX,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,USAM NIMES GARD,VRANJES ljubomir,J22,32,34,rencontre_D1H_2223_4120.pdf,16,13,1792,17,13,R,1,1,-1,1,1,0,H,0,0,D1,2223
SAEEAIY,CESSON RENNES METROPOLE HB,LERICHE sebastien,DUNKERQUE HANDBALL GRAND LITTORAL,MAURICE franck,J22,27,26,rencontre_D1H_2223_4121.pdf,10,13,1579,10,13,R,-1,-1,1,0,0,0,H,0,0,D1,2223
SAEEAIZ,US CRETEIL HANDBALL,DELGADO fernando,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J22,37,40,rencontre_D1H_2223_4122.pdf,18,20,1753,18,21,R,-1,-1,-1,0,0,0,H,0,0,D1,2223
SAEEAJA,LIMOGES HAND 87,RODRIGUEZ alberto,SAINT RAPHAEL VHB,BRAUX benjamin,J22,32,31,rencontre_D1H_2223_4123.pdf,17,14,1788,17,15,R,1,1,1,1,0,0,H,0,0,D1,2223
SAEEAJC,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,US IVRY HANDBALL,DINART didier,J23,35,25,rencontre_D1H_2223_4125.pdf,15,12,1788,16,12,R,1,1,1,1,1,0,H,0,0,D1,2223
SAEEAJD,HBC NANTES,COJEAN gregory,MONTPELLIER HANDBALL,CANAYER patrice,J23,29,28,rencontre_D1H_2223_4126.pdf,13,12,1734,13,12,R,1,1,1,1,0,0,H,0,0,D1,2223
SAEEAJE,CHAMBERY SAVOIE HB,MATHE erick,USAM NIMES GARD,VRANJES ljubomir,J23,36,31,rencontre_D1H_2223_4127.pdf,15,15,1766,16,15,R,0,1,1,1,0,0,H,1,0,D1,2223
SAEEAJF,SAINT RAPHAEL VHB,BRAUX benjamin,CESSON RENNES METROPOLE HB,LERICHE sebastien,J23,23,29,rencontre_D1H_2223_4128.pdf,13,15,1787,13,16,R,-1,-1,-1,0,0,0,H,0,0,D1,2223
SAEEAJG,C'CHARTRES METROPOLE HANDBALL,SALAET toni,ISTRES PROVENCE HANDBALL,DEROT gilles,J23,25,26,rencontre_D1H_2223_4129.pdf,14,14,1793,15,14,R,0,1,-1,1,0,0,H,0,0,D1,2223
SAEEAJH,US CRETEIL HANDBALL,DELGADO fernando,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J23,30,36,rencontre_D1H_2223_4130.pdf,16,17,1790,17,17,R,-1,0,-1,1,0,0,H,0,1,D1,2223
SAEEAJK,HBC NANTES,COJEAN gregory,SAINT RAPHAEL VHB,BRAUX benjamin,J24,33,29,rencontre_D1H_2223_4133.pdf,18,17,1784,19,18,R,1,1,1,1,0,0,H,0,0,D1,2223
