code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_59_min,score_visiteur_59_min,equipe,statut_59_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
PADIYIQ,HBC ST AMAND LES EAUX PORTE DU HAINAUT,SAUVAL florence,TOULON,PUIGSEGUR laurent,J3,26,27,rencontre_D1F_2021_7930.pdf,26,27,R,-1,-1,0,0,0,F,0,0,D1,2021
PADJQFX,C'CHARTRES METROPOLE HANDBALL,SALAET toni,CESSON RENNES METROPOLE HB,LERICHE sebastien,J4,25,28,rencontre_D1H_2021_376.pdf,24,27,R,-1,-1,0,0,0,H,0,0,D1,2021
PADLDPV,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,J3,25,24,rencontre_D2H_2021_549.pdf,24,23,R,1,1,1,0,0,H,0,0,D2,2021
PADLLHF,US CRETEIL HANDBALL,MONTORIER pierre,ISTRES PROVENCE HANDBALL,DEROT gilles,J8,23,27,rencontre_D1H_2021_410.pdf,23,26,R,-1,-1,0,0,0,H,0,0,D1,2021
PADLMIP,PARIS 92,MESSAOUDI yacine,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,J5,24,21,rencontre_D1F_2021_7943.pdf,24,21,R,1,1,1,0,1,F,0,0,D1,2021
PADLOHO,TREMBLAY EN FRANCE HANDBALL,SILVA joel,MONTPELLIER HANDBALL,CANAYER patrice,J9,30,31,rencontre_D1H_2021_422.pdf,28,31,R,-1,-1,0,0,1,H,0,0,D1,2021
PADLUMI,HBC ST AMAND LES EAUX PORTE DU HAINAUT,SAUVAL florence,JDA DIJON HANDBALL,MAZEL christophe,J6,23,22,rencontre_D1F_2021_7954.pdf,22,22,R,0,1,1,0,1,F,1,0,D1,2021
PADLVXB,SARAN LOIRET HB,COURTIAL fabien,MASSY ESSONNE HB,ROUSSEL jeremy,J6,25,28,rencontre_D2H_2021_573.pdf,24,27,R,-1,-1,0,0,0,H,0,0,D2,2021
PADMFRF,NANTES ATLANTIQUE HANDBALL,SAURINA guillaume,MERIGNAC HANDBALL,CHAGNARD christophe,J6,28,26,rencontre_D1F_2021_7953.pdf,27,24,R,1,1,1,0,0,F,0,0,D1,2021
PADMFRG,NANTES ATLANTIQUE HANDBALL,SAURINA guillaume,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J8,28,27,rencontre_D1F_2021_7965.pdf,28,27,R,1,1,1,1,0,F,0,0,D1,2021
PADMFRV,PARIS 92,MESSAOUDI yacine,NANTES ATLANTIQUE HANDBALL,SAURINA guillaume,J9,30,28,rencontre_D1F_2021_7971.pdf,29,27,R,1,1,1,1,0,F,0,0,D1,2021
PADMFZR,TREMBLAY EN FRANCE HANDBALL,SILVA joel,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J6,30,33,rencontre_D1H_2021_398.pdf,30,33,R,-1,-1,0,0,0,H,0,0,D1,2021
PADMGAL,ANGERS SCO HANDBALL,DUPIN guillaume,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,J6,22,23,rencontre_D2H_2021_568.pdf,22,23,R,-1,-1,0,1,0,H,0,0,D2,2021
PADMHJK,MONTPELLIER HANDBALL,CANAYER patrice,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J10,26,21,rencontre_D1H_2021_427.pdf,24,21,R,1,1,1,0,0,H,0,0,D1,2021
PADMHKD,SELESTAT ALSACE HANDBALL,VIENNET christophe,VALENCE HANDBALL,FORETS eric,J10,27,27,rencontre_D2H_2021_601.pdf,27,26,R,1,0,0,1,0,H,0,0,D2,2021
