club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26
BORDES SPORTS;N1;2223;F;24;37;1;3;2;1;3;1;1;3;1;3;1;1;NA;1;1;1;1;3;1;1;3;1;1;1;1;NA
BREST BRETAGNE HANDBALL;N1;2223;F;24;57;3;1;3;3;3;1;3;NA;3;3;1;3;3;1;3;2;3;2;3;1;NA;3;3;1;2;3
BRUGUIERES OCCITAN CLUB;N1;2223;F;24;45;1;1;3;NA;1;3;2;1;1;3;3;2;3;1;3;1;NA;1;1;3;3;1;3;1;1;2
CERCLE PAUL BERT RENNES HB;N1;2223;F;24;53;3;3;NA;1;1;1;1;3;3;1;3;1;3;2;3;NA;3;1;3;2;3;1;3;3;2;3
CHAMBRAY TOURAINE HANDBALL;N1;2223;F;24;45;1;2;3;1;3;NA;1;1;1;1;1;3;1;1;3;3;3;1;NA;3;3;3;1;1;3;1
CHEVIGNY ST SAUVEUR HANDBALL;N1;2223;F;24;46;1;3;3;2;1;3;3;1;3;NA;2;1;1;1;3;1;1;1;3;1;3;3;NA;3;1;1
CJF FLEURY LOIRET HANDBALL;N1;2223;F;24;42;1;1;1;NA;1;3;3;1;1;3;1;1;1;1;3;3;NA;3;1;1;3;1;1;3;1;3
CLUB LAIQUE COLOMBELLES HANDBALL;N1;2223;F;24;45;1;3;1;1;1;3;3;3;3;1;3;NA;1;2;1;3;1;1;3;3;1;1;1;3;NA;1
COGNAC ALJO;N1;2223;F;24;24;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1
COTE BASQUE HB;N1;2223;F;24;48;1;1;1;3;NA;1;3;1;3;3;1;1;3;3;1;1;3;NA;3;1;3;3;1;3;2;2
EPINAL HB;N1;2223;F;24;33;3;1;1;NA;1;3;1;1;1;1;1;1;1;1;1;1;NA;1;3;3;1;1;1;2;1;1
ES BESANCON FEMININ;N1;2223;F;24;60;1;3;1;2;3;3;3;3;NA;3;1;3;3;3;3;3;1;3;2;3;3;NA;3;1;3;3
HANDBALL CLUB THUIR;N1;2223;F;22;35;1;1;3;NA;3;NA;1;1;1;3;3;3;2;1;1;1;NA;3;NA;1;1;1;1;1;1;1
HANDBALL ST ETIENNE METROPOLE;N1;2223;F;22;36;1;3;NA;2;1;1;1;1;3;1;3;NA;3;1;1;NA;3;1;1;1;1;1;3;2;NA;1
