"","code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_recevant","points_visiteur","diff_point","diff_point_norm"
"50","SAEDKKB","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence","LOMME LILLE METROPOLE HB","WORM laurent",31,29,"rencontre_D2F_1_2223_371.pdf","J3",31,28,"R",1,1,1,0,0,"F",1,0,"D2",2223,"handball clermont auvergne metropole 63","lomme lille metropole hb",4,1,3,0.475805096690569
"51","SAEDKKC","HAVRE ATHLETIC CLUB HB","PELLAN stephane","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",22,23,"rencontre_D2F_1_2223_372.pdf","J4",20,23,"R",-1,-1,0,1,1,"F",0,1,"D2",2223,"havre athletic club hb","saint gregoire rennes metropole hb",7,5,2,0.356279178681344
"52","SAEDKKF","LOMME LILLE METROPOLE HB","WORM laurent","SAMBRE AVESNOIS HANDBALL","PETIT clement",27,29,"rencontre_D2F_1_2223_375.pdf","J4",27,29,"R",-1,-1,0,1,1,"F",0,0,"D2",2223,"lomme lille metropole hb","sambre avesnois handball",2,5,-3,-0.241350411364781
"53","SAEDKKI","TOULOUSE FEMININ HANDBALL","SEUTCHIE ludovic","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",27,29,"rencontre_D2F_1_2223_378.pdf","J4",25,28,"R",-1,-1,0,0,1,"F",0,0,"D2",2223,"toulouse feminin handball","club athletique beglais",5,7,-2,-0.121824493355556
"54","SAEDKKJ","ASUL VAULX EN VELIN","MODENEL sebastien","HAVRE ATHLETIC CLUB HB","PELLAN stephane",29,27,"rencontre_D2F_1_2223_379.pdf","J5",28,26,"R",1,1,1,0,0,"F",0,0,"D2",2223,"asul vaulx en velin","havre athletic club hb",5,8,-3,-0.241350411364781
"55","SAEDKKK","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","TOULOUSE FEMININ HANDBALL","SEUTCHIE ludovic",20,21,"rencontre_D2F_1_2223_380.pdf","J5",20,20,"R",0,-1,0,0,1,"F",0,0,"D2",2223,"saint gregoire rennes metropole hb","toulouse feminin handball",8,6,2,0.356279178681344
"56","SAEDKKP","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",24,23,"rencontre_D2F_1_2223_385.pdf","J5",24,22,"R",1,1,1,1,0,"F",0,0,"D2",2223,"handball clermont auvergne metropole 63","bouillargues handball nimes metropole",7,7,0,0.117227342662894
"57","SAEDKKZ","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","NOISY LE GRAND HANDBALL","GHERRAM farid",22,25,"rencontre_D2F_1_2223_395.pdf","J7",22,24,"R",-1,-1,0,0,1,"F",0,0,"D2",2223,"saint gregoire rennes metropole hb","noisy le grand handball",10,12,-2,-0.121824493355556
"58","SAEDKLA","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","LOMME LILLE METROPOLE HB","WORM laurent",28,27,"rencontre_D2F_1_2223_396.pdf","J7",27,27,"R",0,1,1,0,1,"F",0,0,"D2",2223,"club athletique beglais","lomme lille metropole hb",12,7,5,0.714856932709019
"59","SAEDKLD","SAMBRE AVESNOIS HANDBALL","PETIT clement","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",23,22,"rencontre_D2F_1_2223_399.pdf","J7",23,22,"R",1,1,1,1,0,"F",0,1,"D2",2223,"sambre avesnois handball","handball clermont auvergne metropole 63",11,13,-2,-0.121824493355556
"60","SAEDKLE","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","PALENTE BESANCON HANDBALL","SECK cheikh",28,27,"rencontre_D2F_1_2223_400.pdf","J8",27,27,"R",0,1,1,0,0,"F",0,0,"D2",2223,"bouillargues handball nimes metropole","palente besancon handball",10,8,2,0.356279178681344
"61","SAEDKLG","LOMME LILLE METROPOLE HB","WORM laurent","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",29,28,"rencontre_D2F_1_2223_402.pdf","J8",13,16,"R",-1,1,1,0,0,"F",0,1,"D2",2223,"lomme lille metropole hb","saint gregoire rennes metropole hb",8,11,-3,-0.241350411364781
"62","SAEDKLH","NOISY LE GRAND HANDBALL","GHERRAM farid","HAVRE ATHLETIC CLUB HB","PELLAN stephane",20,21,"rencontre_D2F_1_2223_403.pdf","J8",20,21,"R",-1,-1,0,0,1,"F",0,0,"D2",2223,"noisy le grand handball","havre athletic club hb",15,13,2,0.356279178681344
