"","club","division","saison","HF","match_joue","total_point","journee","points"
"331","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J20",26
"332","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J21",27
"333","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",22,29,"J22",28
"334","ELITE VAL-D'OISE","N1","2122","H",22,43,"J1",0
"335","ELITE VAL-D'OISE","N1","2122","H",22,43,"J2",1
"336","ELITE VAL-D'OISE","N1","2122","H",22,43,"J3",3
"337","ELITE VAL-D'OISE","N1","2122","H",22,43,"J4",5
"338","ELITE VAL-D'OISE","N1","2122","H",22,43,"J5",6
"339","ELITE VAL-D'OISE","N1","2122","H",22,43,"J6",8
"340","ELITE VAL-D'OISE","N1","2122","H",22,43,"J7",11
"341","ELITE VAL-D'OISE","N1","2122","H",22,43,"J8",14
"342","ELITE VAL-D'OISE","N1","2122","H",22,43,"J9",17
"343","ELITE VAL-D'OISE","N1","2122","H",22,43,"J10",19
"344","ELITE VAL-D'OISE","N1","2122","H",22,43,"J11",20
"345","ELITE VAL-D'OISE","N1","2122","H",22,43,"J12",22
"346","ELITE VAL-D'OISE","N1","2122","H",22,43,"J13",23
"347","ELITE VAL-D'OISE","N1","2122","H",22,43,"J14",26
"348","ELITE VAL-D'OISE","N1","2122","H",22,43,"J15",27
"349","ELITE VAL-D'OISE","N1","2122","H",22,43,"J16",28
"350","ELITE VAL-D'OISE","N1","2122","H",22,43,"J17",31
"351","ELITE VAL-D'OISE","N1","2122","H",22,43,"J18",32
"352","ELITE VAL-D'OISE","N1","2122","H",22,43,"J19",35
