"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAECVEM","MERIGNAC HANDBALL","CHAGNARD christophe","JDA DIJON HANDBALL","MAZEL christophe",27,28,"rencontre_D1F_2223_3113.pdf",27,27,"R",0,-1,0,1,0,"F",0,0,"D1","2223","handball clermont auvergne metropole 63","jda dijon handball",NA,52,NA
"SAECVEO","HANDBALL PLAN DE CUQUES","SPINCER angelique","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix",27,26,"rencontre_D1F_2223_3115 2.pdf",26,25,"R",1,1,1,1,1,"F",0,0,"D1","2223","provence aix universite club handball","st amand handball -  porte du hainaut",NA,34,NA
"SAECVEO","HANDBALL PLAN DE CUQUES","SPINCER angelique","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix",27,26,"rencontre_D1F_2223_3115.pdf",26,25,"R",1,1,1,1,1,"F",0,0,"D1","2223","provence aix universite club handball","st amand handball -  porte du hainaut",NA,34,NA
"SAECVET","HANDBALL PLAN DE CUQUES","SPINCER angelique","MERIGNAC HANDBALL","CHAGNARD christophe",26,25,"rencontre_D1F_2223_3120 2.pdf",25,23,"R",1,1,1,1,0,"F",1,0,"D1","2223","provence aix universite club handball","handball clermont auvergne metropole 63",NA,NA,NA
"SAECVET","HANDBALL PLAN DE CUQUES","SPINCER angelique","MERIGNAC HANDBALL","CHAGNARD christophe",26,25,"rencontre_D1F_2223_3120.pdf",25,23,"R",1,1,1,1,0,"F",1,0,"D1","2223","provence aix universite club handball","handball clermont auvergne metropole 63",NA,NA,NA
"SAECVFE","ES BESANCON FEMININ","MIZOULE sebastien","LES NEPTUNES DE NANTES","THOMSEN helle",30,27,"rencontre_D1F_2223_3131 2.pdf",29,26,"R",1,1,1,0,0,"F",1,1,"D1","2223","handball clermont auvergne metropole 63","les neptunes de nantes",NA,56,NA
"SAECVFE","ES BESANCON FEMININ","MIZOULE sebastien","LES NEPTUNES DE NANTES","THOMSEN helle",30,27,"rencontre_D1F_2223_3131.pdf",29,26,"R",1,1,1,0,0,"F",1,1,"D1","2223","handball clermont auvergne metropole 63","les neptunes de nantes",NA,56,NA
"SAECVFK","PARIS 92","MESSAOUDI yacine","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",30,31,"rencontre_D1F_2223_3137 2.pdf",29,31,"R",-1,-1,0,0,1,"F",0,1,"D1","2223","nancy handball","bouillargues handball nimes metropole",NA,NA,NA
"SAECVFK","PARIS 92","MESSAOUDI yacine","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",30,31,"rencontre_D1F_2223_3137.pdf",29,31,"R",-1,-1,0,0,1,"F",0,1,"D1","2223","nancy handball","bouillargues handball nimes metropole",NA,NA,NA
"SAECVFP","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane","HANDBALL PLAN DE CUQUES","SPINCER angelique",24,20,"rencontre_D1F_2223_3142 2.pdf",22,20,"R",1,1,1,0,0,"F",0,0,"D1","2223","le pouzin hb 07","provence aix universite club handball",NA,NA,NA
