"","club","division","saison","HF","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","match_joue"
"128","CS BOURGOIN JALLIEU HB","N1","2324","H",NA,1,1,1,3,3,3,1,1,1,NA,1,1,1,1,1,3,3,1,1,1,3,1,NA,1,1,"23"
"129","ELITE VAL-D'OISE","N1","2324","H",3,1,1,1,NA,1,1,2,3,3,1,3,1,1,1,3,1,3,3,1,1,3,NA,NA,NA,NA,"21"
"130","FOLSCHVILLER","N1","2324","H",2,1,3,2,NA,1,3,1,3,1,3,3,3,2,2,1,3,NA,3,1,2,1,1,1,2,1,"24"
"131","GONFREVILLE HANDBALL","N1","2324","H",1,1,1,1,3,1,1,NA,1,3,3,1,1,1,3,2,1,1,1,1,NA,1,NA,NA,NA,NA,"20"
"132","GRAND POITIERS HANDBALL","N1","2324","H",3,3,1,1,1,2,3,1,1,NA,3,3,1,3,3,1,1,1,1,3,1,3,NA,2,3,1,"24"
"133","HAND BALL CLUB GIEN LOIRET","N1","2324","H",1,1,3,3,1,NA,1,1,3,1,3,1,1,1,1,3,2,1,NA,3,1,1,1,3,1,1,"24"
"134","HANDBALL CLUB DE LIVRY-GARGAN","N1","2324","H",3,NA,3,2,3,1,3,3,1,1,1,3,1,3,NA,3,3,2,3,1,1,3,3,2,3,1,"24"
"135","HANDBALL HAZEBROUCK","N1","2324","H",1,3,1,1,1,3,3,2,NA,3,3,3,3,1,3,1,NA,3,1,1,1,2,NA,NA,NA,NA,"20"
"136","HBC NANTES","N1","2324","H",3,2,NA,2,3,1,1,3,3,1,1,1,3,3,1,NA,1,3,3,3,3,3,3,2,1,3,"24"
"137","HENNEBONT-LOCHRIST HB","N1","2324","H",1,3,1,3,3,3,1,NA,3,3,1,1,3,1,3,1,3,2,1,1,NA,1,1,3,1,3,"24"
"138","LANESTER HB","N1","2324","H",2,1,2,3,1,3,1,1,1,1,1,2,1,1,1,1,1,1,NA,3,3,2,NA,NA,NA,NA,"21"
"139","LILLE METROPOLE - HANDBALL CLUB","N1","2324","H",2,1,NA,1,1,1,1,1,1,1,3,1,3,2,3,NA,1,3,3,3,1,1,3,1,1,3,"24"
"140","MAINVILLIERS-CHARTRES HANDBALL","N1","2324","H",1,1,1,3,3,3,1,1,NA,1,3,1,3,1,1,2,3,1,3,3,1,NA,3,3,3,3,"24"
"141","MARTIGUES HANDBALL","N1","2324","H",2,3,3,3,1,1,NA,3,1,1,1,2,1,3,1,1,1,1,1,3,3,1,NA,NA,NA,NA,"21"
"142","METZ HANDBALL","N1","2324","H",1,1,1,3,1,3,1,NA,3,3,2,3,1,2,1,3,3,3,1,1,NA,3,1,3,3,1,"24"
"143","MOLSHEIM","N1","2324","H",NA,3,3,1,1,3,3,1,3,3,1,1,1,NA,3,2,3,1,3,1,3,1,1,1,2,3,"24"
"144","PARIS SAINT-GERMAIN HANDBALL","N1","2324","H",3,1,2,3,1,2,3,3,NA,3,3,1,3,3,1,2,2,2,1,3,1,1,NA,NA,NA,NA,"21"
"145","POUZAUGES VENDEE HANDBALL","N1","2324","H",1,1,1,1,1,1,1,1,3,1,NA,1,1,1,1,1,1,2,1,1,1,2,1,NA,1,1,"24"
"146","RIXHEIM","N1","2324","H",NA,1,NA,NA,3,NA,1,NA,1,NA,1,1,NA,3,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,"11"
